No,Question,Image_URL,Answer A,Answer B,Answer C,Answer D,Correct Answer,Explanation
109,Which of the following might be listed in the project charter as a key deliverable?,,A summary milestone schedule,A comprehensive user manual,Preapproved financial resources,A list of key project stakeholders,B,"All of the answer choices represent elements which may be included in the project charter. However, the question is asking which might be included as a key deliverable. A deliverable is any unique and verifiable product, result, or capability to perform a service that is required to be produced to complete a process, phase, or project. Of the choices provided, only a user manual meets the definition of a project deliverable, and therefore, is the best answer to the question asked."
110,"As part of product testing, a team member wants to verify compliance of the product with pre-defined specifications. What should the team member use to compare her test results?",,Affinity diagram,Quality metrics,Activity list,Quality audit,B,"The question implies that the Control Quality process is being carried out in this scenario. The Control Quality process verifies that the deliverables are meeting specifications. Quality metrics are a project document that is developed as an output of the Plan Quality Management process. This document describes the project or product attributes and how the Control Quality process will verify compliance with them. The team member should use quality metrics as a reference point against which she will compare her test results. Therefore, of the choices provided, quality metrics is the best answer to the question asked."
111,"A_project manager is leading a meeting with key stakeholders to update them on the progress of the project as well as address any questions or concerns of the stakeholders. In order to capture relevant information from the meeting, the project manager assigns a project team member to be the meeting scribe. The meeting is a success with enthusiastic participation among the stakeholders. With the meeting concluded, what should be done with the meeting minutes?",,Added to the meeting minutes register,Addended to the communications management plan,Recorded in the lessons learned register,Documented in the organizational process assets,D,"Organizational process assets updates are an output of the Manage Communications process described in the scenario. Organizational process assets may be updated with project records such as correspondence, memos, meeting minutes, project reports, presentations and other documents used on the project. The meeting minutes are considered an organizational process asset and could be archived for future reference. Typically, after the meeting, the meeting minutes are distributed to the meeting participants and other project stakeholders as specified in the communications management plan. Then the meeting minutes can be archived as part of the OPAs update. However, an option that describes both of these steps is not provided as one of the answer choices. Therefore, we have to select the answer that, among the choices given, best addresses the question asked. Among the choices provided, documenting the meeting minutes in the OPAs is the best answer to the question asked."
112,"To create a schedule model for project execution and monitoring and controlling, you analyze activity sequences, durations, resource requirements, and schedule constraints. What would be the most likely outcome of the process you are performing?",,Schedule management plan,Monte Carlo probability distribution,Detailed Gantt bar chart,Schedule forecasts,C,"Analyzing activity sequences, durations, resource requirements, and schedule constraints to create a schedule model for project execution and monitoring and controlling is the definition of the Develop Schedule process. A_project schedule is one of the outputs of this process. The project schedule can be presented in various formats. Bar charts are one example of a project schedule. Bar charts are also known as Gantt charts. Henry Gantt invented a bar chart of schedule information, listing activities on the vertical axis, showing dates on the horizontal axis, and activity durations as horizontal bars placed according to start and finish dates. Depending on project needs, additional details may be included in the Gantt bar chart. Some project management information systems may automatically link to the work product detail required for each activity on the Gantt chart."
113,"A_project manager works in a weak matrix organization. She intends to use a traditional waterfall approach to manage the project. The project management plan has been approved by the appropriate stakeholders, and the project manager is planning the project kick-off meeting to announce the start of the project and gain commitment among the stakeholders. Which of the following groups or individuals is the least likely to participate in the kick-off meeting of this project?",,Project team members,End users,Project manager,Functional managers,B,"The project manager, project team, and functional leaders will all play a vital role in the success of the project described by the question. It is possible that a few end users will be brought in for product testing and feedback. However, end users in this scenario will not play a significant role in the project and are not part of the project team or the performing organization. Gaining the commitment of the team and key stakeholders to the project is one of the objectives of the kick-off meeting. The project manager does not need to gain the commitment of the end users to the project. End users are more likely to be included in the kick-off meeting of an agile project rather than a project with a traditional waterfall approach. Therefore, of the choices provided, end users are the least likely to participate in the kick-off meeting of the project described in the scenario."
114,"Your sponsor has committed to building a high-speed rail from one major inland city, Azules, to the coast. You have two possible routes, either Brazos or Corazon. Given each route's costs, odds, and rewards of high demand and low demand in this decision tree, which route should you choose?",images\test_2\q_114.png,"Brazos, because it has the highest expected monetary value (EMV) and avoids the worst-case scenario","Corazon, because you gain 16 billion by building that route instead of gaining 10 billion by building the","Brazos, because 80% gives the highest chance of gaining 12 billion, which covers the 10 billion spent to","Corazon, because the probabilities of low demand and high demand are closer to 50/50, which",A,"Decision tree analysis is a technique used for the Perform Quantitative Risk Analysis process. You must account for not only the investment cost of the decision but the probability and payoff for each effect. In a decision tree, the best choice is the one with the largest expected monetary value (EMV). The EMV for the Brazos route is 0.8 billion, and the EMV for the Corazon route is -8.8 billion (note this is a negative number). Since the path with the largest expected monetary value is the Brazos route at 0.8 billion, that is the best choice."
115,Which of the following best describes the key benefit of the Plan Stakeholder Engagement process?,,Enables efficient communication between the project team and stakeholders,Increases probability of meeting the quality objectives established for the project,Provides an actionable plan to interact effectively with project stakeholders,"Describes the product, service, or result boundaries and acceptance criteria",C,"Plan Stakeholder Engagement is the process of developing approaches to involve project stakeholders based on their needs, expectations, interests, and potential impact on the project. The key benefit of the Plan Stakeholder Engagement process is that it provides an actionable plan to interact effectively with the stakeholders. The incorrect answer choices all represent key benefits of other processes that belong to various Project Management Knowledge Areas."
116,"A_project is divided into phases. Each phase consists of tasks involving design, development, testing, and integration. You have developed a project charter, and the project sponsor has just signed and approved the charter. The purpose of this document includes all of the following, except:",,To provide a direct link between the project and the company's strategic objectives,To provide a formal record of the project,To show organizational commitment to the project,To authorize functional management responsibilities to the project manager,D,"The project charter once signed and approved, is a commitment by the organization to dedicate the required time and resources needed for the project. The project manager is named and authorized to use organizational resources for project activities. An approved charter validates the alignment of the project to the strategy and ongoing work of the organization. These all describe the purpose of a project charter. The question, however, is asking what is not a purpose of the project charter. While the charter authorizes the project manager to expend organizational resources on the project, the charter does not authorize functional management responsibilities to the project manager. Functional management responsibilities are determined by a company's corporate structure and not by a project charter."
117,"It has been decided that a project will be managed using an agile framework. The project is now in execution. In this adaptive environment, what should be the focus of the project manager?",,Performing detailed product planning and delivery,Building a collaborative decision-making environment,Holding the project team accountable for deadlines,Planning what will be accomplished during each iteration,B,"The expectations of the project manager do not change in an adaptive environment, but control of the detailed product planning and delivery is delegated to the team. The project manager's focus is on building a collaborative decision-making environment and ensuring the team has the ability to respond to changes. When an agile framework is being used, the project manager assumes a more supportive role as a servant leader. The incorrect answer choices are all examples of a project manager taking direct control over project planning and work which is inconsistent with agile best practices. Therefore, of the available choices, building a collaborative decision-making environment is the best answer to the question asked."
118,The latest iteration in the project went far better than the first iteration. Some claim it was the increased communication. Others credit the change in the social media strategy. While others feel it was due to the inclusion of a training course. What should the project manager do to make the next iteration even more successful?,,Include another training course in the next iteration,Update the lessons learned register with what worked well,Double the communications in the next iteration,Increase the usage of the social media tools in the next iteration,B,"There are many lessons learned as the project progresses. These lessons should be captured, shared, analyzed, and leveraged. In this scenario, there were multiple potential reasons the team felt that the project iteration went well. The ones listed revolved around the project communications. These communications lessons learned need to be recorded or documented in some way for the project manager and team to learn from and apply that learning to the current project and future projects. The lessons learned register is a project document used to record knowledge gained during a project so that it can be used in the current project and entered into the lessons learned repository. Updates to the lessons learned register is an output of the Monitor Communications process described in the scenario. Therefore, of the choices offered, updating the lessons learned register with what worked well is what the project manager should do to make the next iteration even more successful."
119,"You are leading a project team that will consist of a mixture of internal employees and contractors, and you have decided to use a chart that will ensure the assignment of roles and responsibilities is clear. The table has a list of activities as well as an indication of which team member is accountable, responsible, providing consultation, or is an information resource for the activity. Which of the following choices describe this chart?",,Responsibility assignment matrix (RAM),Control chart,Resource histogram,Resource breakdown structure,A,"The RAM is a tool used during Plan Resource Management to illustrate the connections between work packages and project team members. The matrix format shows all activities associated with one person and all people associated with one activity ensuring there is only one person accountable for any one task. By using a RAM, the project manager can avoid confusion about who has authority for the work. The scenario describes a RACI (responsible, accountable, consult, inform) chart which is an example of a RAM. The RACI chart shows the activities to be completed and designates the resources assigned to each activity as either responsible, accountable, consult, or inform. Using a RACI chart can ensure the assignment of roles and responsibilities are understood. Since the RACI chart is an example of a RAM, and the RACI chart was not an answer choice, RAM is the best answer to this question."
120,"A_project manager is having difficulty getting project team members to meet their weekly performance targets. The project manager has provided team training and team-building activities, but so far these and other efforts have been unsuccessful. The project manager would like to use a reward system to incentivize team members to meet their performance goals. Which of the following strategies would be best?",,Give all team members a raise to help motivate them,Give rewards to team members who meet their performance goals at the end of the project,Hold a contest where team members can compete for prizes,Consult the resource management plan,D,"Recognition and reward systems are determined during the Plan Resource Management process. While managing the project team, the project manager makes reward decisions and implements them as part of the team development process. Unless the need arises to change the recognition plan, a project manager should adhere to the project plan. Since the work of creating a recognition and reward system should have already been done, the project manager's best approach would be to consult the resource management plan."
121,"A_project to build a new high-end subdivision has been plagued with quality problems. Customers are arguing about what was actually specified to be built. The last house has been built, and the fixes to five more houses have been completed. The project manager desperately wants to close the project and move on. What does the project manager need to review to ensure proper closure of the project?",,All components of the project management plan,The quality management plan to ensure it was followed for these last few houses,The requirements management plan to ensure all the requirements are met,The performance measurements baseline to ensure determine how the project performed,A,"Even though some components of the project management plan may be of more obvious importance, all components of the project management plan are required as inputs to project closure. There were obvious quality and requirements issues on this project, but the project manager will need to review all aspects of the project and not just the obvious problem areas. Hence, all components of the project management plan are needed to close the project. In addition to the project management plan and baselines, the project manager will also need to review many, if not all, of the project documents and business documents. If nothing else, all of these documents will need to be marked as final versions during the Close Project or Phase process. In this scenario, all of the answer choices are correct, however, reviewing the project management plan provides the most comprehensive answer, and is, therefore, the best answer to the questions asked."
122,"You are managing a project to hold an annual member convention. Thanks to unprecedented exhibitor response, you need to expand to a larger exhibit hall, which involves switching to a neighboring hotel and updating exhibitor, volunteer, and attendee communications. Which of the following processes applies as you implement the approved change request?",,Direct and Manage Project Work,Monitor and Control Project Work,Perform Integrated Change Control,Manage Procurements,A,"An approved change request may involve corrective measures, preventive measures, defect repair, and updates to plans and baselines. Of the choices available, only the Direct and Manage Project Work is an executing process, and approved change requests are an input to this process, making it the best answer to the question asked."
123,"You are working as a part-time manager at a weak matrix organization. Your functional manager adds to your workload by declaring you the project manager for a new business idea. After reviewing the business case, you understand new personnel will need to be hired to execute the project. What constraint, if any, will you be operating under in terms of hiring additional staff?",,The functional manager would be responsible for hiring staff.,The human resources manager would be responsible for hiring staff.,"You, as project manager, would be responsible for hiring staff.",Senior management would be responsible for hiring staff.,A,"Knowing the differences between the types of organizational structures is necessary to answer this question correctly. Understanding your role as a project manager in different organizational structures plays an important part in your project management responsibilities and the decisions you have to make. The project manager's role in a weak matrix organization is part-time and done as part of another job and not a designated job role like a coordinator. In such an organization, the project manager's authority over resources is low, and it is the functional manager who takes on the responsibility of managing resources. Therefore, if you need additional staff for your project, you will be operating under the constraint that hiring staff is typically done by the functional managers who are responsible for most of the project resources."
124,"A_project to construct a new cruise ship is in the execution stage when a small crack is discovered in the mount of the engine. The decision is made to apply stop-drilling and then weld the crack. After the welding is complete, the part is inspected, painted, and returned to service. Which of the following best describes the action taken in this scenario?",,A defect repair was performed.,A_preventive action has been undertaken.,A corrective action has been taken.,A_proactive measure has been completed.,A,"A defect repair is an intentional activity that modifies a nonconforming product or product component. The crack discovered in the component is an example of a defect, which was repaired by stop-drilling and welding the crack. The incorrect answer choices represent actions that are taken to prevent similar issues from occurring in the future, which was not the case in this scenario. Therefore, of the available choices, a defect repair is the best answer to the question asked. Note, stop-drilling is a technique to prevent cracks from further penetration. This knowledge, however, is not required to answer the question correctly."
125,"A_project to renovate an old office building is underway when asbestos insulation is discovered covering some of the plumbing pipes. Given the age of the building, the possibility of finding asbestos was a known risk. The risk response calls for contracting with a remediation company specializing in asbestos removal. After the remediation company completes their work, the project team is unpleasantly surprised to discover corrosion among some of the plumbing pipes. What should the project manager do first?",,Request the remediation company make the repairs since the corrosion was detected during their,Capture the information in the issue log and assign a responsible party to ensure the issue is tracked,Document to the risk register corrosion as a secondary or residual risk and implement the agreed-,Update the lessons learned register to ensure that risk planning for similar future projects should be,B,"The question implies that the Implement Risk Responses process was being performed when a problem with the plumbing was discovered. Updates to the issue log are one of the outputs of this process. When issues are identified as part of the Implement Risk Responses process, they are recorded in the issue log. The issue log is a project document where information about issues and their resolution is recorded and monitored. Of the available options, the first thing for the project manager to do in this situation is to capture the information in the issue log and assign a responsible party to ensure the issue is effectively tracked through resolution."
126,"A_project manager is developing a quality management plan for a project to design a medical device. Given the nature of the product, quality will play a vital role. Additionally, the acceptance criteria for the project deliverables will have a direct impact on quality standards. The project manager wants to gain an understanding of the acceptance criteria. What document should the project manager review for this purpose?",,The project charter,The requirements management plan,The scope statement,The acceptance criteria register,C,"The question states that the quality management plan is being developed, which indicates that the Plan Quality Management process is underway. One of the inputs for the Plan Quality Management process is the scope baseline. The WBS, along with the deliverables documented in the project scope statement, is considered while determining which quality standards and objectives are suitable for the project, and which project deliverables and processes will be subjected to quality review. The scope statement includes the acceptance criteria for the deliverables. The definition of acceptance criteria may significantly increase or decrease quality costs and, therefore, project costs. Therefore, of the choices provided, to gain a clear understanding of the acceptance criteria for the project, the project manager should review the scope statement."
127,"During project planning, a risk was identified that the vendor contracted to supply materials for the project may not be able to meet the contractual requirements. The response to this risk was to contract with a secondary vendor at a higher cost, and contingency reserves were set aside for this risk. Eventually, during project execution, the risk was realized, and the secondary vendor has been contracted to provide the remainder of the needed material. What should the project manager do first?",,Perform the Conduct Procurements process,Update the risk register,Implement the agreed-upon risk response,Submit a change request to update the cost baseline,B,"The question implies that the Implement Risk Responses process was triggered and completed in this scenario. The risk register should be updated to reflect any changes to the previously agreed-upon risk responses for individual project risks that are subsequently applied as a result of the Implement Risk Responses process. In this scenario, the risk status will likely need to be updated in the risk register along with any identified risks associated with the secondary vendor. Therefore, among the available choices, updating the risk register is what the project manager should do first."
128,"A_change control board (CCB) has been established for the project you are leading. During project execution, the client contacts you to request a change to a project deliverable which can be accommodated with existing project resources and will not increase cost. What should you do next?",,Ask the project sponsor to approve the implementation of the change,Request the change control board (CCB) to approve the change,Submit the change request and evaluate it against other project constraints,Implement the change as requested by the customer,C,"The question states that a change has been requested which will not affect the required resources or project costs. However, these are not the only project constraints which must first be evaluated when a change is requested. Change requests that have an impact on the project baselines should normally include information about the cost of implementing the change, modifications in the scheduled dates, resource requirements, and risks. Even though the question indicates that cost and resource requirements will not be affected by implementing the change request, the request should still be documented and evaluated against all of the other project constraints. For example, implementing the change may delay the project and impact the schedule baseline. The full impact of implementing a change request must be fully understood before the CCB can render an informed decision. Therefore, of the available choices, the project manager should next evaluate the change request against other project constraints."
129,"For the next phase of an engine development project, the design engineer is not sure what type of meshing to use. Though the engineer is considering tetra-meshing, she wants to find out if there have been similar instances in previous projects and what type of meshing was applied. What is the best course of action?",,Check the organizational process assets,Review the requirements documentation,Look for the information in the project charter,Meet with a team member who worked on a previous project,A,"The engineer is trying to find what approaches have been used in similar projects in the past. Of the available options, only the organizational process assets have information from past projects, and this is where the engineer can get details on lessons learned, best practices, alternatives used in various situations, etc. Note, to correctly answer the question, it is not necessary to understand what tetra- meshing is, or how it works, because the question only asks where to find relevant information from past projects. Prospective PMP aspirants should keep in mind that questions on their exam may be vague and/or contain extraneous information."
130,"You are leading a corporate restructuring project. During a meeting intended to build support for the project among key stakeholders, a gap is uncovered with regard to conducting monthly audits for regulatory compliance. Specifically, the project management plan does not address who will be responsible for conducting this activity in the new organizational structure. Apparently, this project requirement was missed during project planning. What should be done next to resolve this issue?",,Reevaluate the Collect Requirements process,Capture the information in the lessons learned register,Add a new risk to the risk register,Submit a change request,D,"The question suggests that the Manage Stakeholder Engagement process was being performed when a missing project requirement was discovered. The project management plan, specifically the scope baseline which is part of the project management plan, needs to be updated to align the plan with project objectives. An update to the project management plan requires an approved change request. Therefore, of the available choices, the project manager should first submit a change request. Ideally, the issue described in the question should also be captured in the issue log first, but that option was not listed among the answer choices. Note, while the PMBOK® Guide does not specify updates to the scope baseline as an output from the Manage Stakeholder Engagement process, the PMBOK® Guide does not restrict us either to using only those specified. The PMBOK® Guide reads, “Components of the project management plan that may require a change request for the project management plan include but are not limited to.” Therefore, the scope baseline can also be updated as an output of that process."
131,"During project initiation, the project manager had provided an initial estimate of $250,000 with a range of -25% to +75%. The project is now in planning, and, as part of the Estimate Costs process, the project manager has to refine this estimate to a much narrower range. How should the project manager determine the estimating methods that can be used and the accuracy required for the cost estimate?",,Examine the basis of estimates,Review the cost management plan,Contact the finance department,Check the project charter,B,"The question states that the Estimate Costs process is being carried out. The cost management plan serves as an input to the Estimate Costs process. The cost management plan describes estimating methods that can be used and the level of precision and accuracy required for the cost estimate. Therefore, reviewing the cost management plan is the best course of action for the project manager in this scenario."
132,"You want to ensure that your project team has the tools and techniques to connect with each other, so they can work together to create new knowledge, share knowledge, and integrate the knowledge of the diverse team members. To support this effort, you have scheduled monthly meetings so the project team can exchange best practices. Additionally, you have started an online forum where the team can ask questions to share information. What set of tools and techniques are you using?",,Manage Project Knowledge,Lessons learned repository,Lessons learned register,Knowledge management,D,"Knowledge management represents a set of tools and techniques that can be useful during the Manage Project Knowledge process. Knowledge management tools and techniques connect people so they can work together to create new knowledge, share tacit knowledge, and integrate the knowledge of diverse team members. Knowledge management tools and techniques include networking, online forums, meetings, workshops, seminars, and conferences among others. The question describes some of those tools and techniques making 'knowledge management' the best answer to the question asked."
133,"Senior management has asked you to perform the necessary analysis to identify the leading causes of the defects on your project. As a result of your analysis, you have identified the main contributors of defects and listed them in order of frequency of occurrence in the form of a histogram. Which type of chart have you created?",,Pareto chart,Flowchart,Gantt chart,Control chart,A,A Pareto chart is a type of histogram that shows how many results were created by each identified
134,"You are leading a project to develop a more energy efficient commercial refrigeration system. During testing of the prototype, a defective component is discovered within the compressor. With the approval obtained to repair the defective part, what should be done next?",,Perform the Integrated Change Control Process,Submit a change request,Repair the defect,Replace the compressor,C,"The question states that approval has been obtained to repair the defect, which implies that a change request was submitted and approved. Once the change request has been approved, the Perform Integrated Change Control process is complete. Approved change requests can be an input to the Direct and Manage Project Work process. The next logical step is to perform the defect repair through the Direct and Manage Project Work process. Therefore, of the available choices, repairing the defect is the best answer to the question asked."
135,"A_project manager is asked by senior management to share information on a critical project update with the appropriate stakeholders. The project manager needs to decide how the information should be communicated and is debating whether to post an informal memo to the company's internal website or email a formal report to the stakeholders. Based on this situation, what technique or consideration for effective communication is the project manager using?",,Presentations,Choice of media,Sender-receiver models,Writing style,B,"All answer choices are techniques and considerations for effective communication. However, only the choice of media involves decisions such as when to prepare an informal memo versus a formal report, and when to use push/pull options along with the choice of appropriate technology. Based on the scenario described by the question, the choice of media is the best answer choice."
136,The stakeholder engagement plan has just been approved. Which of the following is least likely to trigger an update to this plan?,,The start of a new phase of the project,Changes to the organizational structure,The closure of a project or phase,Changes in communications strategies,C,"The close of a project phase does not typically trigger the need to review and update stakeholder engagement strategies documented in the stakeholder engagement plan, which is a component of the project management plan. The PMBOK® Guide lists various outputs from the Close Project or Phase process, but updates to the project management plan are not among them. The other answer choices represent typical triggers for the update of the stakeholder engagement plan."
137,"In order to procure required materials for a project, your team prepares documents that will be used to solicit information, quotations, and proposals from prospective sellers. The documents are structured to facilitate an accurate and complete response from each prospective seller and to facilitate the evaluation of the responses. What type of documents is your team creating?",,Vendor documents,Source selection criteria,Bid documents,Test and evaluation documents,C,"The question suggests that the project management process of Plan Procurement Management is being conducted. One output of the Plan Procurement Management process is bid documents. Bid documents are all documents used to solicit information, quotations, or proposals from prospective sellers. Bid documents would include the request for information (RFI), request for quotation (RFQ), and request for proposal (RFP). These documents are structured to facilitate an accurate and complete response from each prospective seller and to facilitate easy evaluation of the responses. The project team is creating bid documents in the situation described by the question."
138,"You have replaced a project manager midway through project execution. You discover that although financial project reports that include CPI and SPI are prepared weekly, the financial database repository has never been updated. Which tailoring consideration did your predecessor most likely miss earlier in the project?",,Project complexity,Knowledge management,Cost management plan,Earned value management,B,"The question refers to earned value management in the form of cost and performance information, which suggests that the tailoring considerations referenced by the question are related to the cost management processes. Knowledge management is one of the tailoring considerations associated with cost management and is concerned with the following question, ""Does the organizational have a formal knowledge management and financial database repository that a project is required to use and that is readily accessible?"". The question implies that the previous project manager was not updating the financial database repository with the required information. Therefore, among the available choices, knowledge management is the best answer to the question asked."
139,"You have started gathering documents you need to implement a planned response to a realized risk. You need a document that will provide summary information on identified risks, as well as an assessment of the current project risk exposure. What is the input document you need?",,Lessons learned register,Project charter,Assumption log,Risk report,D,"Based on the information in this question, you are starting the Implement Risk Responses process and are gathering input documents. Those documents include the risk register, lessons learned register, organizational process assets, and risk reports. The risk report includes summary risk information including the current overall project risk exposure, a strategy for the agreed-upon risk responses, and descriptions of the major individual project risk and planned responses. The risk register which carries the more detailed information, such as individual agreed-upon risk responses and the owners for each response, is used in this process as well."
140,"For your latest project, you have finalized the project management plan, which has just been reviewed and approved by the project sponsor and other relevant stakeholders. Your next step is to conduct a kick-off meeting to announce the start of project execution. To ensure the best possible outcome for the kick-off meeting, you want to know if there is any relevant information that can be gleaned from past project kick-off meetings. What is your best course of action?",,Review the lessons learned register,Meet with participants of past kick-off meetings,Check the enterprise environmental factors for information from past projects,Research the organizational process assets,D,"The question is asking where to find information on lessons learned from past project kick-off meetings. The lessons learned repository is an organizational process asset which serves as a store of historical information about lessons learned from previous projects. This information would have been collected at the end of the kick-off meeting or shortly afterward, making it the most accurate and relevant. Therefore, of the choices given, researching the organizational process assets is the best answer to the question asked."
141,"You recently started working part-time at a small roofing company. The owner hired you to manage the roofing team's activities while he attends to other endeavors. There is no other administrative staff, and you must consult the owner regarding any important project decision, including budget allocation. Which of the following best describes your role?",,Functional manager,Project manager,Project coordinator,Project sponsor,C,"In the scenario provided, you work part-time on project activities managing some of the project tasks; you have little or no authority over project resources, you do not manage the project budget, and are not allowed to make any significant project decisions. Your role is best described as a project coordinator."
142,"You are working at a firm where your responsibilities include selecting the right programs or projects, prioritizing the work, and providing the needed resources. Your primary objective is to manage all of the various programs, projects, and operations together as a group to meet the firm's strategic business objectives. Which of the following best describes the work you are performing?",,Operations management,Project management,Program management,Portfolio management,D,"A_portfolio is a collection of projects, programs, subsidiary portfolios, and operations managed as a group to achieve strategic objectives. Of the available options, only portfolio management includes operations management as a subsidiary. Therefore, portfolio management is the best answer to the question asked."
143,"During quality testing, the team members identify several gaps in performance and record this information in the issue log. The project manager discusses the gaps with the engineers trying to understand what caused the problem. The engineers recommend using a data analysis technique that can help determine the underlying reasons for the performance gaps. What technique do the engineers recommend?",,Root cause analysis (RCA),Scatter diagram,Control chart,Performance reviews,A,"The scenario implies that either the Manage Quality process or the Control Quality process is underway. Both root cause analysis (RCA) and cause-and-effect diagrams can be used as tools and techniques in these processes. However, RCA is an example of the data analysis technique, while the cause-and-effect diagram is an example of the data representation technique. The question reads, ""The engineers recommend using a data analysis technique that can help determine the underlying reasons for the performance gaps."" The RCA is an analytical technique used to determine the basic underlying reason that causes a variance, defect, or risk, making the RCA the best answer to the question asked. Note, the cause-and-effect diagram is a data representation technique that can be used in an RCA to help identify the main or root cause of the problem. However, on its own, the cause-and-effect diagram does not determine 'what' ultimately caused the problem."
144,"During project initiation, the project manager realizes that due to the resource requirements of other higher priority projects, some resources may not be available for the current project. If this happens, the project may fail. The project manager wants to ensure that this risk is known to key project stakeholders as one of the conditions to terminate the project. What should the project manager do?",,Issue a risk report,Develop a resource management plan,Terminate the project,Establish the project exit criteria,D,"Project exit criteria (also known as accomplishment criteria) defines the conditions that need to be met in order to close or to cancel the project or phase. The scenario implies the project is set up for failure if resources are unavailable to fulfill the project requirements. By proactively identifying the risk of resources being unavailable, establishing the project exit criteria early in the project, and documenting the criteria in the project charter, the key project stakeholders would be aware of the circumstances. In the event risk realizes, i.e., the resources are not available, the news would not come as a surprise, and the project would not be considered a failure. If the project meets its exit criteria, the project enters the Close Project or Phase process."
145,"Early in project execution, a hurricane destroys the equipment and materials that had been delivered to the project site. A risk response is implemented by collecting an insurance payout. The project manager determines that by using the insurance payout, contingency reserves, and management reserves, the project can be restarted without increasing the project budget. What should the project manager do next?",,Submit a change request to update the cost baseline,Restart project execution since the project budget is not affected,Submit a change request to access the contingency reserves,Hold a bidder conference to purchase new equipment and materials,A,"The question suggests that a natural disaster occurred during project execution which triggered the Implement Risk Responses process. If the impact on the project can be recovered without affecting the project baselines, then the project manager might restart project execution without submitting a change request. In this case, however, the scenario suggests the use of management reserves is necessary to restart project execution. Management reserves are not included in the cost baseline. Management reserves are added on top of the cost baseline to form the overall project budget. An approved change request is required to transfer funds from management reserves into the cost baseline. Once the required portion of management reserves has been released and moved from management reserves to the cost baseline, the project manager can access the funds as part of the cost baseline and restart project execution. Therefore, of the choices offered, the next thing for the project manager to do in this scenario is to submit a change request to update the cost baseline. Note, the correct answer choice does not elaborate what exactly the change request is for. Prospective PMP aspirants should keep in mind that not only the questions but also the answer choices on the real PMP exam can be ambiguous. Therefore, as we always recommend, select the best choice of those provided even if the choice does not look/sound to you like the perfect/ideal answer or the answer with wording which you would prefer to see as one of the options."
146,"A_project manager and team are in the process of finalizing all project activities. They have obtained final acceptance and transferred ownership of deliverables, obtained administrative closure, collated lessons learned, archived all project documents, and obtained feedback from relevant stakeholders. Finally, the project manager and team have been released and reassigned to other assignments. Based on the information provided, what might have been forgotten?",,Verifying that project deliverables conform to the quality management plan,Reviewing and assessing detailed project requirements,Preparing and sharing the final project report,Conducting benefit analysis with relevant stakeholders,C,"The Project Management Professional (PMP)® Examination Content Outline contains a list of tasks for each domain, with which PMP aspirants are expected to be familiar. Task #4 from the closing domain states, ""Prepare and share the final project report according to the communications management plan in order to document and convey project performance and assist in project evaluation."" All of the incorrect answer choices represent tasks that should be completed as part of process groups other than the Closing Process Group. The information provided by the question suggests that all of the tasks associated with project closure have been completed except for the preparation and communication of the final project report."
