No,Question,Image_URL,Answer A,Answer B,Answer C,Answer D,Correct Answer,Explanation
136,"When first gathering the project information to be considered as part of collecting requirements, which of the following might be left undone until after the requisite items are gathered? Top of Form",,Project business case,Agreements,Stakeholder engagement plan,Affinity diagram,D,"Collect Requirements is the process of determining, documenting, and managing stakeholder needs and requirements to meet project objectives. This process has these seven inputs, some of which have multiple components: ● Project charter ● Project management plan (scope management plan, requirements management plan, stakeholder engagement plan) ● Project documents (assumption log, lessons learned register, stakeholder register) ● Business documents (business case) ● Agreements ● Enterprise environmental factors ● Organizational process assets Of the choices, the affinity diagram is not listed among the inputs because it is a data analysis technique that would be performed after inputs are gathered."
137,Which of the following is an output of the Plan Communications Management process? Top of Form,,Project document updates,Risk register updates,Change requests,Project communications,A,"The Plan Communications Management process has the following three outputs: ● Communications management plan ● Project management plan updates ● Project documents updates Plan Communications Management is the process of developing an appropriate approach and plan for project communication activities based on the information needs of each stakeholder or group, available organizational assets, and the needs of the project."
138,Which of the following is not an output of the Manage Quality process? Top of Form,,Scope baseline updates,Quality control measurements,Issue log updates,Change requests,B,"Manage Quality is the process of translating the quality management plan into executable quality activities that incorporate the organization's quality policies into the project. The Manage Quality process has the following five outputs: ● Quality reports ● Test and evaluation documents ● Change requests ● Project management plan updates (e.g., scope baseline) ● Project documents updates (e.g., issue log)"
139,Which of the following is not a component of the scope management plan? Top of Form,,A process that enables the creation of the WBS from the detailed project scope statement,A process that establishes how the scope baseline will be approved and maintained,A tracking structure that reflects the attributes to be captured on a requirements traceability,A method for obtaining stakeholders' formal acceptance of the completed project deliverables,C,"The scope management plan is a component of the project management plan that describes how the scope will be defined, developed, monitored, controlled and validated. The scope management plan's components include a process for preparing a project scope statement as well as what is listed in the choices. The exception is a traceability structure that reflects the requirement attributes captured on the traceability matrix, which is a component of the requirements management plan, also known as the business analysis plan, the purpose of which is to describe how the project and product requirements will be analyzed, documented, and managed."
140,Which of the following is not a tool or technique of the Plan Quality Management process? Top of Form,,Quality metrics,Interviews,Cost-benefit analysis,Mind mapping,A,"The Plan Quality Management process has the following seven tools and techniques: ● Expert judgment ● Data gathering (e.g., interviews) ● Data analysis (e.g., cost-benefit analysis) ● Decision making ● Data representation (e.g., mind mapping) ● Test and inspection planning ● Meetings"
141,"As part of your communication strategy, you plan to create a website to share information with the project stakeholders. What type of communication method is this? Top of Form",,Interactive communication,Pull communication,Push communication,Open communication,B,"There are three main communication methods to share information among stakeholders: push communication, pull communication, and interactive communication. Those methods are among the tools and techniques that can be used as part of the Plan Communications Management process implied by the scenario. Pull communication is often used for a mass communication where the recipients may access the content at their discretion, often subject to security procedures. Note, the pull method does not guarantee that the recipients are aware when or if they need to access the information that has been published."
142,Which of the following is an input to the Control Quality process? Top of Form,,Change requests,Accepted deliverables,Quality control measurements,Quality metrics,D,"Control Quality is the process of monitoring and recording results of executing the quality management activities to assess performance and ensure the project outputs are complete, correct, and meet customer expectations. The Control Quality process has the following seven inputs: ● Project management plan ● Project documents (e.g., quality metrics) ● Approved change requests ● Deliverables ● Work performance data ● Enterprise environmental factors ● Organizational process assets"
143,The Control Costs process includes the following tools and techniques: ● Expert judgment ● Earned value analysis (EVM) ● Variance analysis ● Reserve analysis ● Trend analysis ● To-complete performance index (TCPI) Which of the following tools and techniques should be added to this list? Top of Form,,Change control meetings,Forecasting,Project management information system,Bottom-up estimating,C,Control Costs is the process of monitoring the status of the project to update the project costs and manage changes to the cost baseline. This process has the following tools and techniques: ● Expert judgment ● Earned value analysis (EVM) ● Variance analysis ● Reserve analysis ● Trend analysis ● To-complete performance index (TCPI) ● Project management information systems
144,Which of the following is both an input and an output of the Plan Risk Responses process? Top of Form,,Schedule baseline,Resource calendars,Cost-benefit analysis,Risk register,D,"The risk register is used heavily in all of the risk management processes. As an input to the Plan Risk Responses process, it provides the list of all identified and prioritized individual risks that may require response planning. As an output, the risk register will be updated with the agreed upon risk responses, trigger conditions, and other related information."
145,Which of the following inputs to the Plan Cost Management process provides preapproved financial resources? Top of Form,,Organizational process assets,Project management plan,Project charter,Enterprise environmental factors,C,The project charter provides the preapproved financial resources from which the detailed project costs are developed. It documents the initial parameters for the project. The project charter also defines the project approval requirements that will influence the management of the project costs.
146,Which of the following processes does not use the risk register as an input? Top of Form,,Estimate Activity Resources,Plan Risk Management,Determine Budget,Plan Quality Management,B,"This question can be tricky, If you don't read it carefully, at first, you might think that the risk register would be used in the only process that is part of the Risk Management Knowledge Area, but you should differentiate between inputs and outputs. The risk register is not an input of the Plan Risk Management process. The risk register is created by the Identify Risks process and is thus an output. It is then used extensively as an input in all the remaining risk management processes and the other knowledge areas."
147,Which of the following is a tool or technique of the Plan Procurement Management process? Top of Form,,Inspection,Contract negotiation,Risk-related contract decision analysis,Data analysis,D,"Plan Procurement Management is the process of documenting project procurement decisions, specifying the approach, and identifying potential sellers. This process has the following five tools and techniques: ● Expert judgment ● Data gathering ● Data analysis ● Source selection analysis ● Meetings"
148,What output of the Perform Integrated Change Control process serves as an input to both the Control Quality and Control Procurements processes? Top of Form,,Approved change requests,Change log,Project management plan updates,Project documents updates,A,"The Perform Integrated Change Control Process is where all change requests are reviewed. It also involves approving changes and managing changes to deliverables, organizational process assets, project documents, and the project management plan; and communicating the decisions. This process has the following three outputs: ● Approved change requests ● Project management plan updates ● Project document updates (e.g., change log) Project management plan updates and project document updates are not inputs to any process. Therefore, 'approved change requests' is the only viable answer."
149,Which tool and technique used during the Implement Risk Responses process helps the project manager to encourage nominated risk owners to take necessary action where required? Top of Form,,Data gathering,Influencing,Expert judgment,Project management information system,B,"Implement Risk Responses is the process of implementing agreed-upon risk response plans. This process includes the following three tools and techniques: ● Expert judgment ● Interpersonal and team skills (e.g., influencing) ● Project management information system"
150,The sponsor asks the project manager if the software the project has developed so far conforms to all the requirements. What should be used to measure completion of the product scope? Top of Form,,Requirements documentation,Project management plan,WBS,Accepted deliverables,A,"This scenario indicates you are conducting the Validate Scope process to measure completion of the product scope. Remember, completion of the project scope is measured against the components of the project management plan, namely the scope baseline. Completion of the product scope is measured against a project document, namely the product requirements documentation, making “requirements documentation” the best choice to answer the question."
151,Which of the following is not an input to the Perform Quantitative Risk Analysis process? Top of Form,,Risk register,Influence diagrams,Scope baseline,Risk management plan,B,Perform Quantitative Risk Analysis is the process of numerically analyzing the effect of identified individual project risks and other sources of uncertainty on overall project objectives. The process has the following four inputs: ● Project management plan (including the risk management plan and the schedule baseline) ● Project documents (including the risk register) ● Organizational process assets ● Enterprise environmental factors
152,Which of the following outputs from the Monitoring and Controlling Process Group flow to the Closing Process Group? Top of Form,,Project charter,Accepted deliverables,Approved change requests,Deliverables,B,"Accepted deliverables are the products, results, or capability to perform a service that is produced by a project. Each deliverable becomes validated as meeting the specified acceptance criteria as an output of the Validate Scope process. Approved product specifications, delivery receipts, and work performance documents acknowledge the formal stakeholder acceptance of the project's deliverables, which are then used in the Close Project or Phase process to produce the final transition and report."
153,"The Collect Requirements process has two outputs, including requirements documentation. Which is the other output? Top of Form",,Requirements traceability matrix,Project schedule network diagrams,Project management plan,Work performance information,A,"Collect Requirements is the process of determining, documenting, and managing stakeholder needs and requirements to meet project objectives. The Collect Requirements process has the following two outputs: ● Requirements documentation ● Requirements traceability matrix"
154,Which of the following is not a tool and technique of the Control Quality process? Top of Form,,Scatter diagrams,Histograms,Context diagrams,Questionnaires and surveys,C,"The Control Quality process has the following six tools and techniques: ● Data gathering (e.g., questionnaires and surveys) ● Data analysis ● Inspection ● Testing/product evaluations ● Data representation (e.g., histograms, scatter diagrams) ● Meetings Control Quality is the process of monitoring and recording results of executing the quality management activities to assess performance and ensure the project outputs are complete, correct, and meet customer expectations."
155,Which of the choices below is an input of the Implement Risk Responses process? Top of Form,,Risk report updates,Lessons learned register updates,Risk register updates,Risk management plan,D,"Implement Risk Responses is the process of implementing agreed-upon risk response plans. This process has the following three inputs: ● Project management plan (e.g., the risk management plan) ● Project documents (including the lessons learned register, the risk register, and the risk report) ● Organizational process assets The process has two outputs: ● Change requests ● Project documents updates (including the issue log, the lessons learned register, project team assignments, the risk register, and the risk report)"
156,Which of the following is an output of the Control Procurements process? Top of Form,,Work performance reports,Enterprise environmental factors updates,Closed procurements,Audit reports,C,"Conduct Procurements is the process of obtaining seller responses, selecting a seller, and awarding a contract. The Control Procurements process has the following seven outputs: ● Closed procurements ● Work performance information ● Procurement documentation updates ● Change requests ● Project management plan updates ● Project documents updates ● Organizational process assets updates"
157,"Which input to the Plan Cost Management process provides the approach for identifying, analyzing, and monitoring unexpected events on the project? Top of Form",,Schedule management plan,Risk management plan,Organizational process assets,Project charter,B,"The inputs to the cost management plan are the project charter, the project management plan (primarily the schedule and risk management plan), enterprise environmental factors, and organizational process assets. The risk management plan provides an approach for identifying, analyzing, and monitoring risks. The risk management plan provides processes and controls that will impact cost estimation and management."
158,"Which tool or technique used during the Plan Risk Responses process specifies that expertise should be considered from individuals or groups with specialized knowledge in threat response strategies, opportunity response strategies, contingent response strategies, and overall project risk response strategies? Top of Form",,Expert judgment,Multicriteria decision analysis,Alternative analysis,Project team assignments,A,"Plan Risk Responses is the process of developing options, selecting strategies, and agreeing on actions to address overall project risk exposure, as well as to treat individual project risks. This process employs nine tools and techniques: ● Expert judgment ● Data gathering ● Interpersonal and team skills ● Strategies for threats ● Strategies for opportunities ● Contingent response strategies ● Strategies for overall project risk ● Data analysis ● Decision making"
159,Which of the following is not a tool and technique of the Identify Stakeholders process? Top of Form,,Questionnaires and surveys,Document analysis,Meetings,Process analysis,D,"Identify Stakeholders is the process of identifying project stakeholders regularly and analyzing and documenting relevant information regarding their interests, involvement, interdependencies, influence, and potential impact on project success. The Identify Stakeholders process has five tools and techniques: ● Expert judgment ● Data gathering (e.g., questionnaires and surveys) ● Data analysis (e.g., document analysis) ● Data representation ● Meetings"
160,"What process should be performed first as part of project planning, and what tool or technique can be used? Top of Form",,Collect Requirements using expert judgment,Plan Scope Management using alternatives analysis,Create WBS using decomposition,Define Scope using interpersonal and team skills,B,"While Develop Project Management Plan is listed as the first process in the Planning Process Group, this process serves as an umbrella for the development of the subsidiary plans. Project planning typically starts with the development of the scope management plan. In other words, Plan Scope Management is essentially the first process that is carried out as part of project planning. A data analysis technique that can be used for this process includes but is not limited to alternatives analysis. This analysis covers the rest of the Project Scope Management Knowledge Area processes, such as the evaluation of various ways of collecting requirements, elaborating the project and product scope, creating the product, validating the scope, and controlling the scope."
161,Which of the following is a tool or technique of the Conduct Procurements process? Top of Form,,Communication technology,Project performance appraisals,Interpersonal and team skills,Qualified seller list,C,"Conduct Procurements is the process of obtaining seller responses, selecting a seller, and awarding a contract. The Conduct Procurements process has the following five tools and techniques: ● Expert judgment ● Advertising ● Bidder conferences ● Data analysis ● Interpersonal and team skills"
162,All of the following are inputs to the Close Project or Phase process except: Top of Form,,Milestone list,Quality control measurements,Verified deliverables,Project communications,C,"The Close Project or Phase process is where all activities for the project, phase, or contract are finalized. It has the following eight inputs: ● Project charter ● Project management plan ● Project documents (e.g., milestone list, quality control measurements, project communications) ● Accepted deliverables ● Business documents ● Agreements ● Procurement documentation ● Organizational process assets Verified deliverables are an input to the Validate Scope process, not the Close Project or Phase process. Since the question is worded negatively, ""All of the following are inputs to the Close Project or Phase process except"", verified deliverables are the correct answer."
163,Which of the following is an input to the Manage Team process? Top of Form,,Work performance reports,Work performance information,Work performance data,Change requests,A,"Manage Team is the process of tracking team member performance, providing feedback, resolving issues, and managing team changes to optimize project performance. The Manage Team process has the following six inputs: ● Project management plan (resource management plan) ● Project documents (issue log, lessons learned register, project team assignments, team charter) ● Work performance reports (results from schedule control, cost control, quality control, and scope validation) ● Team performance assessments ● EEFs ● OPAs Aim to understand the flow of work performance data, information, and reports. Work performance data is an output of the Executing process, Direct and Manage Project Work. Control Resources is one of the Monitoring and Controlling processes that analyze the data to output work performance information. In turn, this information serves as an input to Monitor and Control Project Work so that data analysis can produce work performance reports. These reports feed into the Perform Integrated Change Control, Manage Team, Manage Communications, and Monitor Risks processes."
164,"The Monitor Communications process has five inputs, including: ● Project management plan ● Project documents ● Enterprise environmental factors ● Organizational process assets Which of the following is the missing input? Top of Form",,Work performance data,Work performance information,Work performance reports,Stakeholder engagement assessment matrix,A,Monitor Communications is the process of ensuring that the information needs of the project and its stakeholders are met. It has the following five inputs: ● Project management plan ● Project documents ● Work performance data ● Enterprise environmental factors ● Organizational process assets
165,"The Control Quality process has six tools and techniques, including: ● Data gathering ● Data analysis ● Inspection ● Data representation ● Meetings Which of the following tools and techniques is missing from the list? Top of Form",,Statistical sampling,Root cause analysis,Testing/product evaluations,Control charts,C,"Control Quality is the process of monitoring and recording results of executing the quality management activities to assess performance and ensure the project outputs are complete, correct, and meet customer expectations. This process has the following six tools and techniques: ● Data gathering (e.g., statistical sampling) ● Data analysis (e.g., root cause analysis) ● Inspection ● Testing/product evaluations ● Data representation (e.g., control charts) ● Meetings"
166,The Manage Quality process has eight tools and techniques including: ● Data gathering ● Data analysis ● Decision making ● Data representation ● Audits ● Design for X ● Problem solving Which of the following tools and techniques is missing from the list? Top of Form,,Project management information system,Quality improvement methods,Meetings,Alternatives identification,B,The Manage Quality process has the following eight tools and techniques: ● Data gathering ● Data analysis ● Decision making ● Data representation ● Audits ● Design for X ● Problem solving ● Quality improvement methods
167,Which of the following is a tool and technique used in the Monitor Risks process that compares technical accomplishments during project execution to the schedule of technical achievement? Top of Form,,Risk audits,Reserve analysis,Technical performance analysis,Alternatives analysis,C,"The Monitor Risks process has the following three tools and techniques: ● Data analysis (including technical performance analysis and reserve analysis) ● Audits (e.g., risk audits) ● Meetings (e.g., risk review meetings)"
168,What type of information is not needed in order to determine the budget? Top of Form,,Supporting details including basic assumptions about cost inclusions and exclusions,Information on what work packages are needed to build the project's deliverables,Project funding requirements,"Information on planned start and finish dates for the project, and important milestones",C,"Determine Budget is the process of aggregating the estimated costs of individual activities or work packages to establish an authorized cost baseline. The basis of estimates, project schedule and scope baseline are inputs to the Determine Budget process. However, project funding requirements are not."
169,Which of the following process(es) must precede the Plan Quality Management process? Top of Form,,Develop Project Charter and Develop Schedule,Identify Risks,Develop Project Management Plan and Determine Budget,Identify Stakeholders and Identify Risks,D,"Plan Quality Management is the process of identifying quality requirements and/or standards for the project and its deliverables, and documenting how the project will demonstrate compliance with quality requirements and/or standards. This process has the following five inputs: ● Project charter ● Project management plan ● Project documents (e.g., stakeholder register, risk register) ● Enterprise environmental factors ● Organizational process assets The stakeholder register is an output from the Identify Stakeholders process. The risk register is an output from the Identify Risks process. Both the Identify Risks and the Identify Stakeholders processes would need to precede the Plan Quality Management process in order to produce their respective outputs which are inputs to the Plan Quality Management process."
170,Which of the following is not an output of the Manage Team process? Top of Form,,Enterprise environmental factors updates,Team performance assessments,Changes to schedule and cost baselines,Change requests,B,"Manage Team is the process of tracking team member performance, providing feedback, resolving issues, and managing team changes to optimize project performance. This process has the following four outputs: ● Change requests (especially preventive or corrective actions in the face of disruptive staffing changes) ● Project management plan updates (resource management plan, schedule baseline, cost baseline) ● Project document updates (issue log, lessons learned register, project team assignments) ● Enterprise environmental factors updates (organizational performance appraisals and personnel skill) Of the choices presented, only team performance assessments are not an output of the Manage Team process, which is focused on oversight, tracking, issue resolution, and managing team changes to optimize project performance. Instead, team performance assessments serve as an output to the Develop Team process, which is focused on improving team competencies and interaction, and the overall team environment to enhance project performance."
171,"Which of the following information, which may include the interpretation of S-curves, tornado diagrams, and criticality analysis, is directly used to estimate the cost and time contingency reserves? Top of Form",,Risk urgency assessment,Probability distribution,Probabilistic analysis of the project,Probability and impact assessment,C,The cost and time contingency reserves are calculated based on the quantitative risk analysis and the stakeholder risk tolerances to bring the risk of overrunning the project objectives to the acceptable level. Probabilistic analysis of the project is often expressed as a cumulative distribution of the estimation of project cost or schedule value with their associated probabilities that could help to calculate the contingency reserve to increase the probability of project success. While other information such as risk urgency assessment and probability and impact assessment only help to prioritize and guide for risk responses.
172,"Which tool and technique used in the Identify Stakeholders process includes methods such as the stakeholder cube, the salience model, and the power/interest grid? Top of Form",,Stakeholder analysis,Stakeholder register,Stakeholder mapping/representation,Brainstorming,C,"Identify Stakeholders is the process of identifying project stakeholders regularly and analyzing and documenting relevant information regarding their interests, involvement, interdependencies, influence, and potential impact on project success. The Identify Stakeholders process has five tools and techniques: ● Expert judgment ● Data gathering ● Data analysis ● Data representation (e.g., stakeholder mapping/representation) ● Meetings"
173,What is an output of the Control Schedule process that is an input to the Monitor and Control Project Work process? Top of Form,,Work performance data,Schedule baseline,Work performance reports,Work performance information,D,The Control Schedule process is where the status of the project is monitored to update the project schedule and manage changes to the schedule baseline. The Control Schedule process has the following five outputs: ● Work performance information ● Schedule forecasts ● Change requests ● Project management plan updates ● Project document updates
174,Which of the following is an output of the Direct and Manage Project Work process? Top of Form,,Project management plan,Accepted deliverables,Risk register updates,Activity list,C,"The Direct and Manage Project Work process has the following seven outputs: ● Deliverables ● Work performance data ● Issue log ● Change requests ● Project management plan updates ● Project document updates (e.g., risk register update) ● Organizational process assets Direct and Manage Project Work is the process of leading and performing the work defined in the project management plan and implementing approved changes to achieve the project's objectives."
175,Which of the following is a tool or technique used in the Monitor and Control Project Work process? Top of Form,,Cost-benefit analysis,Feedback,Cause-and-effect diagrams,Inspection,A,"The Monitor and Control Project Work process has the following four tools and techniques: ● Expert judgment ● Data analysis (e.g., cost-benefit analysis) ● Decision making ● Meetings Monitor and Control Project Work is the process of tracking, reviewing, and reporting overall progress to meet the performance objectives defined in the project management plan."
176,Which of the following is an output from the Close Project or Phase process? Top of Form,,Final report,Accepted deliverables,Enterprise environmental factors updates,Project management plan updates,A,"The Close Project or Phase process has the following four outputs: ● Project document updates ● Final product, service, or result transition ● Final report ● Organizational process assets updates The Close Project or Phase is the process of finalizing all activities for the project, phase, or contract."
177,Identify a valid output of the Plan Risk Management process. Top of Form,,Work performance information,Risk management plan,Risk register,Project document updates,B,Plan Risk Management is the process of defining how to conduct risk management activities for a project. It has one output: ● Risk management plan
178,"The Control Scope process has four inputs, including: ● Project management plan ● Project documents ● Work performance data Which of the following inputs is missing from the list? Top of Form",,Configuration management plan,Requirements documentation,Organizational process assets,Number of change requests,C,"Control Scope is the process of monitoring the status of the project and product scope and managing changes to the scope baseline. The Control Scope process has the following inputs: ● Project management plan (especially scope management plan, requirements management plan, change management plan, configuration management plan, scope baseline, and performance measurement baseline) ● Project documents (especially the lessons learned register, requirements documentation, and requirements traceability matrix) ● Work performance data (raw data from the Direct and Manage Project Work process including the number of change requests received, the number of change requests accepted, and the number of deliverables verified, validated, and completed) ● Organizational process assets (including scope- and control-related guidance and the monitoring and reporting methods and templates to be used)"
179,Which of the following is not an input to the Create WBS process? Top of Form,,Project scope statement,Activity list,Requirements documentation,Organizational process assets,B,"The work breakdown structure is a hierarchy that organizes and decomposes project deliverables to ensure that the total scope of work to be carried out by the project team will achieve the project objectives and meet stakeholder requirements. To that end, the Create WBS process has the following inputs: ● Project management plan ● Project documents (project scope statements and requirements documentation) ● Enterprise environmental factors ● Organizational process assets Of the choices given, 'activity list' does not belong in the list of inputs to the Create WBS process."
180,Which of the following inputs to the Perform Quantitative Risk Analysis process provides published risk-related material such as commercial risk databases? Top of Form,,Risk register,Requirements documentation,Enterprise environmental factors,Risk management plan,C,"Perform Quantitative Risk Analysis is the process of numerically analyzing the effect of identified individual project risks and other sources of uncertainty on overall project objectives. This process has the following four inputs: ● Project management plan (including the risk management plan) ● Project documents (including the risk register) ● Organizational process assets ● Enterprise environmental factors (e.g., industry studies of similar projects and published material such as commercial risk databases)"
181,Which tool or technique supports comparison between the current engagement levels of stakeholders and the desired levels required for successful project delivery? Top of Form,,Stakeholder engagement assessment matrix,Assumptions and constraint analysis,Stakeholder engagement plan,Stakeholder register,A,"The stakeholder engagement assessment matrix is a data representation technique that supports comparison between the current engagement levels of stakeholders and the desired engagement levels required for successful project delivery. One possible classification method would describe each stakeholder as unaware, resistant, neutral, supportive or leading. Ultimately, the gap between the current level and the desired level helps guide the communications necessary to effectively engage each stakeholder."
182,You are developing the cost management plan. Which of the following would you likely use as part of this process? Top of Form,,To-complete performance index,Alternatives analysis,Funding limit reconciliation,Cost of quality,B,"The cost management plan is the main output of the Plan Cost Management process. The cost management plan describes how the project costs will be planned, structured, and controlled. The data analysis tool and technique for planning cost management includes an alternatives analysis. Alternatives analysis includes reviewing funding options such as self-funding, funding with equity, and funding with debt. It can also include consideration of ways to acquire project resources such as making, purchasing, renting, or leasing."
183,Which of the following is an input to the Manage Quality process? Top of Form,,Quality control measurements,Quality reports,Enterprise environmental factors (EEFs),Test and evaluation documents,A,"Manage Quality is the process of translating the quality management plan into executable quality activities that incorporate the organization's quality policies into the project. This process has the following three inputs: ● Project management plan ● Project documents (e.g., quality control measurements) ● Organizational process assets"
184,"When you create the work breakdown structure, the scope baseline is the principal output. What is the WBS component that identifies a management control point where scope, budget, and schedule are integrated and compared to the earned value for performance measurement? Top of Form",,Project scope statement,Control account,Planning package,Work package,B,"When creating the work breakdown structure of a project, control accounts are often used as the higher-level categories, which in turn have planning packages and then work packages with unique identifiers the lowest level of the WBS. In schedule management and cost management, these control accounts and identifiers serve as organizational procedures links that are used to provide accountability throughout the project life cycle."
185,Which of the following tools and techniques is a match for the corresponding process of the Project Resource Management Knowledge Area? Top of Form,,RACI charts: Plan Resource Management,Organizational theory: Acquire Resources,Colocation: Manage Team,Project management information system: Develop Team,A,"A RACI (responsible, accountable, consult and inform) chart is an example of a responsibility assignment matrix. A RACI can be part of the resource management plan, ensuring that each work package has an unambiguous owner and that all team members have a clear understanding of their roles and responsibilities."
186,"Plan Communications Management has eight tools and techniques, including: ● Expert judgment ● Communication requirements analysis ● Communication technology ● Communication models ● Communication methods ● Interpersonal and team skills ● Meetings Which of the following tools and techniques is missing from the list? Top of Form",,Data gathering,Information management,Political awareness,Data representation,D,"Plan Communications Management is the process of developing an appropriate approach and plan for project communication activities based on the information needs of each stakeholder or group, available organizational assets, and the needs of the project. This process has the following eight tools and techniques: ● Expert judgment ● Communication requirements analysis ● Communication technology ● Communication models ● Communication methods ● Interpersonal and team skills (e.g., political awareness) ● Data representation ● Meetings"
187,Which of the following is a tool or technique of the Estimate Costs process? Top of Form,,Bottom-up estimating,Pareto chart,Resource requirements,Run chart,A,The Estimate Costs process has the following ten tools and techniques: ● Expert judgment ● Analogous estimating ● Parametric estimating ● Bottom-up estimating ● Three-point estimates ● Alternatives analysis ● Reserve analysis ● Cost of quality ● Project management information systems ● Decision making Estimate Costs is the process of developing an approximation of the monetary resources needed to complete project work.
188,Which of the following is an output of the Control Resources process? Top of Form,,Team performance assessments,Work performance reports,Work performance data,Work performance information,D,"Control Resources is the process of ensuring that the physical resources assigned and allocated to the project are available as planned, as well as monitoring the planned versus actual utilization of resources and performing corrective action as necessary. This process has four outputs: ● Work performance information (resource utilization and availability) ● Change requests ● Project management plan updates (resource management plan, schedule baseline, cost baseline) ● Project document updates (assumption log, issue log, lessons learned register, physical resource assignments, resource breakdown structure, risk register) For the exam, understand the flow of work performance data, information, and reports. Work performance data is an output of the Executing process, Direct and Manage Project Work. Control Resources is one of the Monitoring and Controlling processes that analyze the data to output work performance information. In turn, this information serves as an input to Monitor and Control Project Work so that data analysis can produce work performance reports. These reports feed into the Perform Integrated Change Control, Manage Team, Manage Communications, and Monitor Risks processes."
189,Which of the following is not an input to the Identify Stakeholders process? Top of Form,,Schedule management plan,Requirements documentation,Project charter,Organizational process assets,A,"Identify Stakeholders is the process of identifying project stakeholders regularly and analyzing and documenting relevant information regarding their interests, involvement, interdependencies, influence, and potential impact on project success. The Identify Stakeholders process has seven inputs: ● Project charter ● Business documents ● Project management plan ● Project documents ● Agreements ● Enterprise environmental factors ● Organizational process assets"
190,Which of the following documents is created in the Define Scope process and is an input to the Sequence Activities process? Top of Form,,Work breakdown structure or WBS,Project scope statement,Activity list,Scope management plan,B,"The Sequence Activities process has the following four inputs: ● Project management plan (e.g., scope baseline) ● Project documents ● Enterprise environmental factors ● Organizational process assets"
191,"The inputs for the Define Scope process include the project management plan, project documents, EEFs and OPAs. What input is missing from this list? Top of Form",,Project charter,Scope management plan,Assumptions log,Project scope statement template,A,"Define Scope is the process of developing a detailed description of the project and product. This process has five inputs: ● Project charter (high-level project description, product characteristics, and approval requirements) ● Project management plan (scope management plan) ● Project documents (assumption log, requirements documentation, and risk register) ● Enterprise environmental factors (the organization's culture, infrastructure, personnel administration and marketplace conditions) ● Organizational process assets (policies, procedures, templates for the project scope statement; project files from previous projects; and lessons learned from previous projects)"
192,Which of the following is not an input to the Identify Risks process? Top of Form,,Stakeholder register,Procurement documentation,Schedule management plan,Work performance information,D,Identify Risks is the process of identifying individual risks as well as sources of overall risk and documenting their characteristics. This process has the following six inputs: ● Project management plan (including the schedule management plan) ● Project documents (including the stakeholder register) ● Agreements ● Procurement documentation ● Enterprise environmental factors ● Organizational process assets
193,Which of the following is an output of the Manage Project Knowledge process? Top of Form,,Project documents updates,Enterprise environmental factors updates,Knowledge management,Lessons learned register,D,The Manage Project Knowledge process is defined as the process of using existing knowledge and creating new knowledge to achieve the project's objectives and contribute to organizational learning. It has the following three outputs: ● Lessons learned register ● Project management plan updates ● Organizational process assets updates
194,"The Develop Project Team process has four inputs, including: ● Project management plan ● Enterprise environmental factors ● Organizational process assets Which of the following inputs is missing from the list? Top of Form",,Team performance assessments,Project team assignments,Human resource management policies,Work performance reports,B,"Develop Team is the process of improving competences, team member interaction, and overall team environment to enhance project performance. This process has the following three inputs: ● Project management plan ● Project documents (lessons learned register, project schedule, project team assignments, resource calendars, team charter) ● Enterprise environmental factors (human resource management policies, team member competencies, and geographic distribution) ● Organizational process assets (historical information and lessons learned repository)"
195,The risk report is an output of which process? Top of Form,,Identify Risks,Plan Risk Management,Implement Risk Responses,Manage Communications,A,The risk report presents information on overall project risks and individual risks to stakeholders. The report is developed progressively throughout the various risk management processes but is created during the Identify Risks process.
196,Which of the following is not an output of the Plan Procurement Management process? Top of Form,,Procurement statement of work (SOW),Source selection criteria,Multicriteria decision analysis,Make-or-buy decisions,C,"Plan Procurement Management is the process of documenting project procurement decisions, specifying the approach, and identifying potential sellers. This process has the following ten outputs: ● Procurement management plan ● Procurement strategy ● Bid documents ● Procurement statement of work ● Source selection criteria ● Make-or-buy decisions ● Independent cost estimates ● Change requests ● Project documents updates ● Organizational process assets updates"
197,In which Project Schedule Management process is a milestone list created? Top of Form,,Develop Schedule,Sequence Activities,Define Activities,Estimate Activity Durations,C,The Define Activities process is where one identifies and documents the specific actions to be performed to produce the project deliverables.The Define Activities process has the following five outputs: ● Activity list ● Activity attributes ● Milestone list ● Change requests ● Project management plan updates
198,"The Control Procurements process has eight inputs, including: ● Project management plan ● Project documents ● Agreements ● Procurement documentation ● Work performance data ● Enterprise environmental factors ● Organizational process assets Which of the following inputs is missing from the list? Top of Form",,Project charter,Project scope statement,Schedule baseline,Approved change requests,D,"Conduct Procurements is the process of obtaining seller responses, selecting a seller, and awarding a contract. The Control Procurements process has eight inputs, including: ● Project management plan ● Project documents ● Agreements ● Procurement documentation ● Approved change requests ● Work performance data ● Enterprise environmental factors ● Organizational process assets"
