No,Question,Answer A,Answer B,Answer C,Answer D,Correct Answer,Hint,Explanation,Details for Answer A,Details for Answer B,Details for Answer C,Details for Answer D
83,An accounts payable manager withholds the payment for the rental of a piece of equipment. The rental company claims the money is due in full because the piece of equipment was necessary to fulfill the objectives of the statement of work defined in the contract. Further talks lead nowhere as both parties cannot come to an agreement. What is the next step for them to take in this situation?,Attempt alternative dispute resolution,Go to court,Approach local government officials,Start direct negotiations,A,"fail, ADR is the next step. Litigation in courts is the last resort. Try to determine what step the parties have already taken in this scenario.","In this case, the organization for which the accounts payable manager works is the buyer and the rental equipment company is the seller. Settling claims and disputes through direct negotiation between the involved parties is the preferred method. Knowing this fact may lead you to believe that starting negotiations is the correct answer, so that the two sides can resolve the issue without outside assistance. However, based on the scenario described, the parties have already attempted to negotiate","Attempt alternative dispute resolutionCorrect. When the buyer and seller cannot reach an agreement on compensation for a contested change, also known as a claim, they should try alternative dispute resolution (ADR) first to resolve the issue. ADR follows procedures established in the contract instead of taking the dispute to court.",Go to courtIncorrect. ADR procedures are put in the contract to avoid often lengthy and expensive legal means of settling disagreements. Going to court is not the settlement method the parties should pursue first if they are unable to resolve the dispute themselves.,"Approach local government officialsIncorrect. Disputes on projects are typically resolved by either direct negotiations, ADR, or litigation in court. Approaching local government officials sounds ambiguous. It is not clear what the parties would exactly try to achieve by approaching local government officials, making this choice an incorrect answer.","Start direct negotiationsIncorrect. Direct negotiations between the involved parties is a preferred method to settle claims and disputes. However, based on the scenario described, the parties have already attempted to negotiate directly without success. The next step is the ADR."
84,A_project manager has compiled a project performance report as requested by the project sponsor. The project manager prepares an email to communicate her findings. She is careful to format the report in a way that can be easily understood by the sponsor once received. Which of the following components of a basic communication model will be used by the project manager and the sponsor?,Encode and decode,Choice of media,Interactive communication,Writing style,A,"One of these options contains steps that are part of a basic communication model, describing how information is sent and received between two parties.","Encoding is defined as translating thoughts or ideas into language by the sender. the project manager is preparing an encoded message by translating the information into language which could be understood by the receiver. The email will then be transmitted, which is the second step --- in the basic communication model. Once received, the email will be decoded or translated into a useful form by the sponsor.","Encode and decodeCorrect. Encoding and decoding are components of a basic communication model. In preparing the email, the project manager is the sender encoding information in a manner that can be understood by the sponsor, and as the receiver, the sponsor will decode the message once received. An additional component transmits the message (sending the email). Transmission occurs between the 'enc","Choice of mediaIncorrect. This question is asking about the components of a basic communication model, whereas the choice of media is a technique for effective communication that involves making decisions about appropriate communications applications.","Interactive communicationIncorrect. Interactive communication models move beyond basic communication to incorporate a means of providing acknowledgment and feedback/response. The question is asking about the 'basic' communication model which focuses on encoding, transmitting, and decoding the message without ensuring it was properly received and understood. For those of you who are familiar with t","Writing styleIncorrect. A writing style is the use of active versus passive voice, sentence structure, and word choice. The writing style is not a component of a basic communication model."
85,"A_project to develop a new e-commerce website server has been completed. However, when the server was deployed on the customer network, it was unable to meet reliability and performance requirements and frequently crashed resulting in lost sales and customer dissatisfaction. What type of requirements was most likely overlooked during testing?",Business,Project,Solution,Stakeholder,C,Those requirements are further grouped into functional and nonfunctional requirements.,"Having sufficient capacity for transactions is an example of a nonfunctional requirement. Nonfunctional requirements supplement the functional requirements to represent the solution requirements. Solution requirements describe the features, functions, and characteristics of the product, service, or result that will meet the business and stakeholder requirements. In the scenario, the server was unable to meet reliability and performance requirements. Reliability and performance requirements are e",BusinessIncorrect. The business requirements describe the higher-level needs of the organization as a whole. Finer details such as website server capacity are not likely to be captured in the business requirements.,"ProjectIncorrect. Project requirements describe the actions, processes, or other conditions that a project needs to meet. Examples include milestone dates, contractual obligations, constraints, etc. None of those examples cover technical requirements such as the website server capacity.","SolutionCorrect. Having sufficient capacity for the transaction volume is an example of a nonfunctional requirement which is part of the wider classification, called solution requirements.","StakeholderIncorrect. Stakeholder requirements describe needs of a stakeholder or stakeholder group. While any requirement can be categorized as a stakeholder requirement, another answer choice more accurately addresses the question asked."
86,You are reviewing the resource allocation for a project that you are managing. You discover that one of the raw materials you received is of lower quality than what was originally approved. What should you do?,Revise the issue log,Update the lessons learned register,Revise the resource register,Update the quality management plan,A,What project document is used to record and monitor problems as they are identified?,"Reviewing resource allocation is part of the Control Resources process. The key benefit of this process is ensuring the assigned resources are available to the project when needed. Updates to project documents are among the outputs of the Control Resources process. New issues found during this process are recorded in the issue log. Therefore, when you discover that the raw materials received is of lower quality than what was originally approved, then the issue log should be revised.","Revise the issue logCorrect. The issue log is a project document used to identify and monitor issues that occur in the project. The issue log can be updated with any new issues found during the Control Resources process described in the scenario, making this choice the best answer to the question asked.","Update the lessons learned registerIncorrect. The lessons learned register is a project document used to record lessons gained during a project, so they can be used as the project progresses. While issues and their resolution may eventually be added to the lessons learned register, in this scenario you have just found the issue and do not yet have the resolution.",Revise the resource registerIncorrect. The 'resource register' is a made-up term.,"Update the quality management planIncorrect. The quality management plan describes how applicable policies, procedures, and guidelines will be implemented to achieve quality objectives. The fact the issue with the quality has been found indicates that the quality activities are likely adequate implying there is no need to update the quality management plan."
87,"A_project manager is leading a project for a client. After the project was baselined, the client requests to change the process that specifies how formal acceptance of the completed project deliverables will be obtained. Instead of accepting the final product at the end of the project as originally planned, the client wants to review and accept each of the major project deliverables individually. With the request approved by the CCB, what should the project manager do next?",Document the status of the change request in the change management plan,Modify the development approach of the project from traditional to agile,Submit a change request to update the project management plan,Update the scope management plan to reflect the requested changes,D,What component of the project management plan includes a description of how formal acceptance of the completed project deliverables will be obtained?,"Scope management plan is a component of the project management plan that describes how the scope will be defined, developed, monitored, controlled, and validated. The scope management plan includes a description of the process that specifies how formal acceptance of the completed project deliverables will be obtained. The question is describing a requested change to that process. With the change request approved by the change control board (CCB), the next logical step is to update the scope mana",Document the status of the change request in the change management plan--- Incorrect. The change management plan specifies how the change requests will be managed on a project. The plan does not document the status of the change requests. This information is captured in the change log.,"Modify the development approach of the project from traditional to agileIncorrect. The development approach is a component of the project management plan that describes the approach that will be taken by the project to deliver the product, service, or result. It is unlikely that the development approach will need to be changed as a result of the change in the process that specifies how formal acce","Submit a change request to update the project management planIncorrect. The change control board (CCB) is a formally chartered group responsible for reviewing, evaluating, approving, delaying, or rejecting changes to the project. The question indicates that the change request has already been reviewed and approved by the CCB. Therefore, there is no reason to submit another change request.","Update the scope management plan to reflect the requested changesCorrect. The question implies that a change request to update the scope management plan with the new process of how the project deliverables are accepted has been approved by the change control board (CCB). With the change request approved, the next logical step is to update the scope management plan as requested."
88,Four vendors have responded to a bid request on your project. Which of the following vendors should you select based on the expected monetary value (EMV)?,"Vendor 1 with an 80% probability of success and profit of $20,000","Vendor 2 with a 90% probability of success and profit of $19,000","Vendor 3 with a 75% probability of success and profit of $18,000","Vendor 4 with an 85% probability of success and profit of $20,000",B,Which vendor provides the highest EMV?,The expected monetary value (EMV) technique is one that calculates the combined probability and impact values of a decision or a solution. This question requires a simple multiplication of the profit anticipated from a vendor by the probability of the vendor's success. Selecting Vendor 2 is the correct answer because they provide a solution with the highest EMV.,"Vendor 1 with an 80% probability of success and profit of $20,000Incorrect. Vendor 1’s solution is calculated as 0.80 x $20,000 = $16,000, which is not the highest EMV possible of the answer choices given.","Vendor 2 with a 90% probability of success and profit of $19,000--- Correct. Vendor 2’s solution is calculated as 0.90 x $19,000 = $17,100, which represents the highest profit to the project from the answer choices given.","Vendor 3 with a 75% probability of success and profit of $18,000Incorrect. Vendor 3’s solution is calculated as 0.75 x $18,000 = $13,500, which is not the highest EMV possible of the answer choices given.","Vendor 4 with an 85% probability of success and profit of $20,000Incorrect. Vendor 4’s solution is calculated as 0.85 x $20,000 = $17,000, which is not the highest EMV possible of the answer choices given."
89,"During your search for an external contractor, you are evaluating proposals received in response to the bid package. Your evaluation includes ensuring the complete response to the bid documents, procurement statement of work, source selection criteria, and any additional documents that went out in the bid package. What tool or technique are you using?",Selected sellers,Advertising,Joint engagements,Data analysis,D,This tool or technique is intended to ensure the completeness of documents when obtaining seller responses during the process of selecting a seller and awarding a contract.,"The scenario implies the Conduct Procurements process is being carried out. Proposal evaluation is an example of the data analysis techniques that can be used as part of this process. Proposals are evaluated to ensure they are complete and respond in full to the bid documents, procurement statement of work, and any additional documents that went out in the bid package. Proposal evaluation is one of several tools and techniques grouped based on its intent or purpose. In this case, the proposal ev",Selected sellersIncorrect. Selected sellers are not a tool or technique of the Conduct Procurement process but instead are outputs of the process and are the result of a proposal or bid evaluation.,"AdvertisingIncorrect. The question information does not fit the definition of advertising, which is communicating with existing or potential users of a product, service or result.",Joint engagementsIncorrect. This is a fictitious answer created for this question.,Data analysis--- Correct. This scenario depicts the use of proposal evaluation which is a component of the data analysis group. Proposal evaluation is a technique used in the Conduct Procurements process to ensure the completeness of seller responses to bid packages. It is one of the 27 techniques included in the data analysis group which are used in various processes.
90,"After completing your project's planning, you have selected the team members and determined their roles and responsibilities. What should you do next?",Create the stakeholder register,Document the information in the project team directory,Conduct individual and team assessments,Capture the information in the project charter as pre-assigned resources,B,Where should the team members along with their roles and responsibilities be documented as a result of the Acquire Resources process?,"The question implies that the Acquire Resources process is being carried out. Project team assignments are one of the outputs of this process. Documentation of team assignments records the team members and their roles and responsibilities for the project in the project team directory. The incorrect answer choices represent actions that should be performed during processes other than the Acquire Resources process. Therefore, of the available choices, the next logical step is to document the infor","Create the stakeholder registerIncorrect. The question implies that the Acquire Resources process is being carried out. The stakeholder register is created as the result of the Identify Stakeholders process and not the Acquire Resources process. The stakeholder register may be updated during the Acquire Resources process, but it would not be created as it should already exist at this point in the ",Document the information in the project team directoryCorrect. Project team assignments are one of the outputs of the Acquire Resources process. Documentation of team assignments records the team members and their roles and responsibilities for the project. Documentation can include a project team directory.,"Conduct individual and team assessmentsIncorrect. Individual and team assessment tools give the project manager and the project team insight into areas of strengths and weaknesses. However, individual and team assessments are used as part of the Develop Team process rather than the Acquire Resources process described in the question.","Capture the information in the project charter as pre-assigned resourcesIncorrect. When physical or team resources for a project are determined in advance, they are considered pre-assigned. Pre-assignment may occur during the Develop Project Charter process or other processes before the initial resource management plan has been completed. However, --- the question implies that the Acquire Resource"
91,"As a vendor contract is being closed, a project manager discovers that the vendor never submitted a final invoice. The project manager contacts the vendor, who apologizes for the delay and agrees to submit the final invoice within the week. The project manager is under a lot of pressure from senior management and the accounting office to close the project on schedule and knows that it will take several weeks to receive and process the vendor's final payment. What is the project manager's best course of action?",Keep the contract open until the invoice arrives and then immediately close the project,"Keep the contract open until the invoice arrives, pay the invoice, and then proceed with closing","Close the contract on schedule; the project work is complete, and accounting can send",Close the contract on schedule and notify the vendor that the outstanding invoice will not be,B,"Typically, what are the requirements for formal procurement closure?","Closed procurements is an output of the Control Procurements process. To close procurements, the buyer will typically provide the seller with formal written notice that the contract has been completed and that all deliverables have been approved. Though requirements for formal procurement closure vary by project and are defined in the terms and conditions of the contract as well as the procurement management plan, typically there should be no outstanding claims or invoices prior to closure. Shou","Keep the contract open until the invoice arrives and then immediately close the projectIncorrect. Before contract closure, there should be no outstanding claims or invoices, and all final payments should have been made. Once the project manager receives the invoice and final payment has been made, the contract has officially been completed and can be closed.","Keep the contract open until the invoice arrives, pay the invoice, and then proceed with closingthe project, even though it will be several weeks late Correct. The project manager and his team should receive and approve all deliverables, and make all final payments, prior to closure. This is essential in case of a problem with the final invoice or another contract situation. If a contract issue ar","Close the contract on schedule; the project work is complete, and accounting can sendpayment to the vendor later --- Incorrect. While this may seem harmless, it is risky to close the contract before resolving the outstanding invoice issue. Typically, there should be no outstanding claims or invoices, and all final payments should have been made, prior to contract closure.",Close the contract on schedule and notify the vendor that the outstanding invoice will not bepaid Incorrect. Refusing to pay the final invoice because it is late and the project manager would like to close the contract on schedule could potentially violate the terms and conditions of the contract or lead to a contract dispute with the vendor. The buyer should pay the vendor for the project work th
92,"While identifying risks, you learn that one of the selected vendors may not be as stable as you had initially thought. Therefore, you create a list of backup suppliers and plan a risk response that involves hiring one of the alternate suppliers. During the project execution, you received notice that the selected vendor has just filed for bankruptcy and will not deliver as contracted. What process will be used next to keep your project on track and all stakeholders satisfied?",Manage Stakeholder Engagement,Implement Risk Responses,Plan Risk Responses,Perform Qualitative Risk Analysis,B,"Risk responses are developed during the planning phase, whereas implementing a risk response is performed during execution.","Risk management includes planning, identification, analysis, response planning, response implementation, and monitoring risk on a project. In this scenario, the risk of the instability of the current vendor had been identified, and a risk response plan to create a list of alternate suppliers was developed. When the current vendor declared bankruptcy, the risk occurred. The next step would be to use the Implement Risk Responses process for that particular risk which involved hiring an alternate s","Manage Stakeholder EngagementIncorrect. Manage Stakeholder Engagement is the process of communicating and working with stakeholders to meet their needs and expectations. It allows the project manager to increase support and minimize resistance from stakeholders. This scenario describes planning for and realizing a risk, not managing stakeholders.","Implement Risk ResponsesCorrect. Implement Risk Responses is the process of executing agreed-upon risk response plans. The original supplier in the scenario has declared bankruptcy. During the risk management planning, you had compiled a list of alternate suppliers with the understanding that you would hire one of the alternates should the need arise. All that remains to be done is implementing th","Plan Risk ResponsesIncorrect. Plan Risk Responses is the process of developing options and selecting strategies to address and treat risks should they occur. The plan to hire an alternate supplier from a predetermined list, as described in this scenario, is an example of the Plan Risk Response process. Therefore, this has already been completed.","Perform Qualitative Risk AnalysisIncorrect. Perform Qualitative Risk Analysis is the process of determining which risks require action by assessing their probability of occurrence and impact. In this scenario, you have already identified a risk response by creating a list of alternate suppliers. Therefore, you have previously performed a qualitative analysis of this risk."
93,You want to build an atmosphere of trust among the team and stakeholders and motivate them to share their knowledge. Which of the following tool or technique would help your team the most to achieve your goal?,Flowcharting,Networking,Brainstorming,Document analysis,B,What tool or technique can be used as part of the Manage Project Knowledge process to share tacit knowledge?,"Knowledge is split into two forms, explicit and tacit. Explicit knowledge is easily documented, such as lessons learned, while tacit knowledge is difficult to express, such as experience, beliefs, or insights. Sharing tacit knowledge is difficult because it resides in the minds of people who typically cannot be forced to share what they know. Allowing for informal interaction, or networking, among team members and stakeholders can build an atmosphere of trust thereby motivating people to share t","FlowchartingIncorrect. A flowchart can display a series of steps that lead to an outcome. Flowcharts are an example of the data representation technique that is typically used as part of the Plan Quality Management process and the Manage Quality process, while the scenario suggests you are in the Manage Project Knowledge process.",NetworkingCorrect. Knowledge is best shared using a combination of reviewing documentation and providing opportunities to interact with those who have previous experience. Networking allows natural connections among team members and stakeholders creating conditions for them to share and learn from each other. ---,BrainstormingIncorrect. Brainstorming is a facilitated session used to generate a lot of ideas in a short period. You are seeking for a way to share knowledge among the team and stakeholders. Brainstorming sessions may only partially address this need.,Document analysisIncorrect. Document analysis consists of reviewing documented information. This technique can be applied individually or in groups but is unlikely to make a significant contribution to knowledge sharing among the team and stakeholders.
94,"The CEO of your company has taken a strong personal interest in your project and has been very involved in status meetings, day-to-day project activities, and decision-making. Meanwhile, the sponsor seems unsupportive of the work, shows no interest in the project, and even threatens to cancel it to prioritize other contracts. How should the CEO and project sponsor be classified in the stakeholder engagement assessment matrix?",The CEO is leading; the sponsor is unaware.,The CEO is supportive; the sponsor is resistant.,The CEO is leading; the sponsor is resistant.,The CEO is neutral; the sponsor is resistant.,C,"In a stakeholder engagement assessment matrix, what is the highest possible engagement level of stakeholders?",Data representation is a technique of the Plan Stakeholder Engagement process. A stakeholder engagement assessment matrix is a data representation technique used to compare the current engagement levels of stakeholders and the desired engagement levels required for successful project delivery. One way of assessing engagement is the following: • Unaware: The stakeholder is not aware of the project nor its outcomes. • Resistant: The stakeholder is aware of the project but does not support it. • Ne,"The CEO is leading; the sponsor is unaware.Incorrect. The CEO can be correctly classified as leading, but the sponsor is not unaware of the project. The sponsor is aware of the project but unsupportive of the work, which closely matches the definition of a resistant stakeholder.","The CEO is supportive; the sponsor is resistant.Incorrect. The CEO is not just aware of the project and supportive of the work. The CEO is actively engaged in decision-making and ensuring the project's success, and therefore best classified as leading. The sponsor would be correctly classified as resistant, but since the first part of the answer is incorrect, this cannot be the correct answer choi","The CEO is leading; the sponsor is resistant.Correct. The best way to classify the CEO's engagement level is as leading. That is, the CEO is aware of the project and is actively engaged in promoting the project and ensuring its success. The sponsor's actions, however, suggest that they are unsupportive of the project, making this an example of a resistant stakeholder.","The CEO is neutral; the sponsor is resistant.Incorrect. Although it is never explicitly stated whether the CEO feels positively or negatively about the project, the CEO's personal interest in the project and active involvement in meetings and project decision-making suggests that this stakeholder is leading, not neutral. The sponsor would be correctly classified as resistant, but since the first p"
95,"You are currently in the process of making cost estimates for a software development project. You have determined that in the best-case scenario, the development would cost $140,000. In a worst-case scenario, it would cost $250,000. However, it would most likely cost $180,000. After performing some calculations, you establish a cost estimate of $185,000. What estimating technique did you use?",Three-point estimating: triangular distribution,Cost variance (CV),Three-point estimating: beta distribution,Cost performance index (CPI),C,What type of formula for estimating costs utilizes a weighted average?,"The question suggests that the project team is conducting the Estimate Costs process. A beta distribution is an example of a three-point estimating technique that may be used in the Estimate Costs process. A beta distribution is calculated by applying a weighted average of optimistic, pessimistic, and most likely estimates. In this case, the cost estimate is calculated as ($140,000 + (4 * $180,000) + $250,000) / 6 which results in a cost estimate of $185,000.","Three-point estimating: triangular distribution--- Incorrect. A triangular distribution can be calculated by taking the average of the optimistic, pessimistic, and most likely cost estimates. Based on the estimates provided in the question, a calculation with a triangular distribution results in a cost estimate of $190,000, not $185,000.","Cost variance (CV)Incorrect. A cost variance (CV) is the amount of budget deficit or surplus at a given point in time, expressed as the difference between the earned value and the actual cost. A cost variance is not an estimating technique.","Three-point estimating: beta distributionCorrect. A beta distribution is a method to estimate cost by applying a weighted average of the optimistic, pessimistic, and most likely estimates. With the data supplied by the question, the cost estimate is calculated as ($140,000 + (4 * $180,000) + $250,000) / 6 which results in a cost estimate of $185,000.",Cost performance index (CPI)Incorrect. A cost performance index (CPI) is a measure of the cost efficiency of budgeted resources expressed as the ratio of earned value to actual cost. A cost performance index is not an estimating technique.
96,"The project requires ongoing stakeholder engagement and needs to respond to high levels of change. The project manager has chosen an adaptive life cycle for the project. The backlog contains an ordered list of requirements and work. At the beginning of each iteration, the team determines how many of the items on the backlog can be delivered within the next iteration. Which process(es) will the project team need to repeat with each iteration?",Define Scope,Collect Requirements and Create WBS,Collect Requirements and Define Scope,"Collect Requirements, Define Scope, and Create WBS",D,The project manager will need to begin each iteration with processes from the Project Scope Management Knowledge Area.,"In the scenario described, the project is managed with an adaptive life cycle. Projects with adaptive life cycles are intended to respond to high levels of change and require close and consistent stakeholder engagement. Often the full scope of the project is not understood at the beginning of the project, or it evolves during the project. Therefore, the deliverables are developed over multiple iterations where a detailed scope is defined and approved at the beginning of each iteration. In an ada","Define ScopeIncorrect. Before beginning the iteration, the team determines which items on the backlog will be delivered or, in other words, which requirements will be addressed in the iteration. The requirements will be used to define a detailed scope for the iteration. Therefore, the iteration requires more than the Define Scope process.","Collect Requirements and Create WBSIncorrect. In an adaptive life cycle, the deliverables are developed over multiple iterations where a detailed scope is defined and approved for each iteration when it begins. While Collect Requirements and Create WBS are performed with each iteration, so is Define Scope. Therefore, this is not the best answer to the question asked.","Collect Requirements and Define ScopeIncorrect. In an adaptive life cycle, the requirements constitute the backlog, and the team will determine how many of the requirements will be delivered in the next iteration. After the requirements are determined for the iteration, a detailed scope will be defined. However, the iteration also needs to be broken down into manageable parts for execution, which ","Collect Requirements, Define Scope, and Create WBSCorrect. In an adaptive lifecycle, the deliverables are developed over multiple iterations. At the beginning of each iteration, the team will determine how many of the requirements on the backlog can be delivered in the next iteration, and a detailed scope is defined and approved. The detailed scope is decomposed into manageable pieces of work thro"
97,A_project manager is planning a technology development project and is trying to determine if it is best to produce the software using internal resources or purchase the product from an outside source. What tool or technique will be most useful for the project manager?,Perform Quantitative Risk Analysis,Product analysis,Make-or-buy analysis,Reserve analysis,C,--- What data analysis technique is used to determine whether it is better to produce a product internally or purchase it from an external source?,"Based on the scenario described, the project manager is performing the Plan Procurement Management process. Make-or-buy analysis is a data analysis technique used during this process. Make-or-buy analysis is utilized to determine whether project deliverables can best be accomplished by the performing organization or should be purchased from outside sources. Factors to consider in the make-or-buy decision include the organization's current resource allocation and their skills and abilities, the n","Perform Quantitative Risk AnalysisIncorrect. Perform Quantitative Risk Analysis is a process, not a tool or technique.","Product analysisIncorrect. Product analysis is used to ‘define’ products and services, not to determine whether to produce them internally or purchase from the outside sources.",Make-or-buy analysisCorrect. Make-or-buy analysis is a technique to gather and organize data about product requirements and analyze them against available alternatives including the purchase or internal manufacture of the product.,Reserve analysisIncorrect. Reserve analysis is used to determine the amount of contingency and management reserve needed for the project. Reserve analysis is not used to determine whether the product or service should be produced by the performing organization or procured from the external sources.
98,What is the key benefit of developing a charter for a project?,Providing the project manager with the formal authority to manage the project,Creating a contract between the project manager and the performing organization,Linking the project to the strategic objectives of the performing organization,Creating a comprehensive document that defines the basis of all project work,C,Do not confuse between the purpose of the project charter as a document and the key benefit of carrying out the Develop Project Charter process.,"This question is an example of a few straightforward one-line knowledge-based questions that prospective PMP aspirants may encounter on their exam. The question is not asking to provide a definition of a project charter. Rather, the question is asking to select an answer choice that best describes the key benefit of developing a charter for a project. In other words, the question is --- asking, ""What is the key benefit of the Develop Project Charter process?"" As stated in the reference provided,","Providing the project manager with the formal authority to manage the projectIncorrect. While it is true that the project charter provides the project manager with the authority to manage the project, the question is asking about the key benefit of the process of developing the project charter, rather than the purpose of the project charter as a document.",Creating a contract between the project manager and the performing organizationIncorrect. A project charter is not considered a contract because there is no consideration or money promised or exchanged in its creation.,Linking the project to the strategic objectives of the performing organizationCorrect. One of the key benefits of developing the project charter is to provide a direct link between the project and the strategic objectives of the organization.,"Creating a comprehensive document that defines the basis of all project workIncorrect. Creating a comprehensive document that defines the basis of all project work is the key benefit of the Develop Project Management Plan process, not the Develop Project Charter process. The project charter is a document that describes high-level information about the project, rather than provides a comprehensive "
99,"Due to confidentiality requirements, all of your project's communications are uploaded to a secure intranet website where the information can be accessed by stakeholders. However, during project execution, you had to spend a lot of time repeating project information to the stakeholders as many of them complained that they are not always up to date on the communications. You have discussed this issue with the project sponsor who says the communication method cannot be changed. What is the most likely reason behind the project sponsor's comment?",The communication breakdown structure is flawed,The pull communication method is inadequate,The enterprise environmental factors are imposing a constraint,The contingent response strategies are lacking,C,"What term describes conditions not under the control of the project team that influence, constrain, or direct the project?","Enterprise environmental factors (EEFs) refer to conditions, not under the control of the project team, that influence, constrain, or direct the project. In this scenario, established communication channels, tools, and systems influence the company's decision to use a secure website for project --- communications. EEFs are typically not under the control of the project team which is likely the reason the sponsor said that the communication method could not be changed. Therefore, of the choices p",The communication breakdown structure is flawedIncorrect. 'Communication breakdown structure' is a made-up term.,"The pull communication method is inadequateIncorrect. Pull communication is a communication method used for large audiences. This method requires the recipients to access content at their own discretion. While the website described in the scenario is an example of pull communication, the question does not ask about the communication method used, but rather about the situation or condition that for","The enterprise environmental factors are imposing a constraintCorrect. Enterprise environmental factors (EEFs) are conditions established by the company that are not under the immediate control of the project team. The conditions created by enterprise environmental factors influence, constrain, or direct the project. The question suggests that the secure website is a requirement based on the compa","The contingent response strategies are lackingIncorrect. Contingent response strategies are developed while planning risk responses. This scenario does not involve risk management; therefore, it is not the correct answer."
100,"A_project manager performed the Validate Scope process with the customer, and they have accepted the deliverables. The project manager is now in the process of finalizing all activities for the project. Which of the following tools or techniques would be appropriate for identifying lessons learned for future projects and for improving the assets of the company?",Document analysis,Alternatives analysis,Cost-benefit analysis,Product analysis,A,What must the project manager do when closing out a project?,"When closing a project, the project manager needs to make sure that all documents are up-to- date, which can be done using the document analysis technique. While conducting the document analysis, the project manager can identify information to improve the company's organizational process assets by capturing lessons learned and knowledge gained from project implementation. All the other answer choices could be eliminated because they are not tools and techniques performed during the Close Project","Document analysisCorrect. Document analysis is a data analysis technique that can be used during the Close Project or Phase process. Document analysis consists of reviewing and assessing any relevant documented information, which will allow you to identify lessons learned that project managers can use on future projects. By capturing the lessons learned and knowledge of the project, you are contri",Alternatives analysisIncorrect. The alternatives analysis technique is used to evaluate options in order to select the best options among alternatives to execute the work of the project. You can eliminate alternatives analysis as a correct choice because it is not a technique used during the Close Project or Phase process which is described by the scenario.,Cost-benefit analysisIncorrect. Cost-benefit analysis is a financial analysis tool used to determine the benefits of a project versus its costs. Cost-benefit analysis is unlikely to help in identifying lessons learned for future projects and for improving the assets of your company.,"Product analysisIncorrect. Product analysis is a tool used in the Define Scope process where questions are asked about the product and answers are formed to describe the use, characteristics, and other relevant aspects of what is going to be manufactured. Product analysis has nothing to do with the process described in the question."
101,"Throughout a project, the project team's overall performance should be evaluated to identify specific training, assistance, or changes needed to improve performance. Using the results from formal or informal evaluations, the project manager can take action to resolve issues, modify communication, address conflict and strengthen team interaction. Which of the following would be used in this situation?",Team performance assessments,Work performance reports,Enterprise environmental factors,Project team assignments,A,"During the Manage Team process, this is an important aspect of reviewing and tracking team performance to optimize overall project performance.","Team performance assessments are inputs to the Manage Team process and should be used throughout the project life cycle to evaluate a team's performance and effectiveness. By using project-specific indicators, the project management team can assess and identify specific training, coaching, mentoring, assistance, or changes required to improve performance. Regular formal and informal assessments allow the project management team to address issues and develop strategies to increase the likelihood ","Team performance assessmentsCorrect. This question aptly describes team performance assessments, which are used throughout the project life cycle to evaluate team performance. Assessment results provide project managers with information that may help identify specific training, coaching, mentoring, assistance, or changes needed to improve the team's overall performance and effectiveness.","Work performance reportsIncorrect. Work performance reports are the physical or electronic representation of work performance information compiled from various controlling processes. This includes information such as status reports of deliverables, information notes, and electronic dashboards. Work performance reports would not be the appropriate option to complete the evaluations referenced.","Enterprise environmental factorsIncorrect. This question references actions that can be taken to make improvements. Enterprise environmental factors are conditions that are beyond the control of the project team. These are internal and external conditions that influence, constrain, or direct the project positively or negatively.",Project team assignmentsIncorrect. Project team assignments are the documented records of the team members and their roles and responsibilities on the project and would not be used to perform the task described in the question.
102,"During a recent staff meeting, a corporate executive stated that the existing corporate structure would not meet the future needs of the organization. In this context, what might a project manager say about driving change at the organizational level?",The change control board (CCB) is a formally chartered group responsible for evaluating and,An approved change request is required to restructure an organization.,Operations drive change with the production of goods and services.,Projects drive change by moving an organization from the current state to a desired future,D,**A project has yet to be initiated in this scenario.**,"Projects drive change in organizations. From a business perspective, a project is aimed at moving an organization from one state to another state to achieve a specific objective. Before the project begins, the organization is commonly referred to as being in the current state. The desired result of the change driven by the project is described as the future state. In this scenario, the executive believes that the current corporate structure is inadequate and a reorganization is necessary to meet","The change control board (CCB) is a formally chartered group responsible for evaluating andapproving organizational changes. Incorrect. A change control board (CCB) is a formally chartered group responsible for reviewing, evaluating, approving, delaying, or rejecting changes to a project, and for recording and communicating such decisions. The roles and responsibilities of the CCB are defined in t","An approved change request is required to restructure an organization.Incorrect. A change request is a formal proposal to modify a document, deliverable, or baseline associated with a particular project. Therefore, change requests are only used within the context of a project and not at the organizational level.","Operations drive change with the production of goods and services.Incorrect. Operations management is concerned with the ongoing production of goods and/or services. Operations focus on efficient use of resources to meet customer demand, whereas projects are used to drive change.","Projects drive change by moving an organization from the current state to a desired futurestate. Correct. Projects drive change in organizations. From a business perspective, a project is aimed at moving an organization from one state to another state in order to achieve a specific objective."
